canon	variant
Tell Wadi Fidan	Tell Wadi Fidan
Tell Ziyadeh	Tell Ziyadeh
Tell al-Mutesellim	Megiddo (Tell al-Mutesellim)
Tell al-Mutesellim	Tell al-Mutesellim
Tell ed-Der	Tell ed-Der
Tell el-'Oueili	Tell el'Oueili
Tell el-'Oueili	Tell el-'Oueili
Tell el-Maffar	Tell el-Maffar
Tell el-Umeiri	Tell el-Umeiri
Tell es-Sawwan	Tell es-Sawwan
Tell es-Sawwan	Tell es-Sawwan I
Tell es-Sultan	Jericho
Tell es-Sultan	Jericho  (PPNA)
Tell es-Sultan	Jericho (PN)
Tell es-Sultan	Jericho (PPNB)
Tell es-Sultan	Jericho (Tell es-Sultan)
Tell es-Sultan	Jericho II
Tell es-Sultan	Tel Jericho
Tell es-Sultan	Tell es-Sultan
Tell esh-Shuna North	Tell esh-Shuna North
Tell-i-Nokodi	Tell-i-Nokodi
Telul eth-Thalathat II	Telul eth-Thalathat II
Tepe Abdul Hosein	Tepe Abdul Hosein
Tepe Chahar Boneh	Tepe Chahar Boneh
Tepe Ebrahim Abad	Tepe Ebrahim Abad
Tepe Farukhabad	Tepe Farukhabad
Tepe Gawra	Tepe Gawra
Tepe Ghabrestan	Tepe Ghabrestan
Tepe Guran	Tepe Guran
Tepe Hissar	Tepe Hissar
Tepe Langar	Tepe Langar
Tepe Marani	Tepe Marani
Tepe Pardis	Tepe Pardis
Tepe Sabz	Sabz
Tepe Sabz	Tepe Sabz
Tepe Sagzabad	Tepe Sagzabad
Tepe Sharafabad	Tepe Sharafabad
Tepe Shizar	Tepe Shizar
Tepe Siabid	Tepe Siabid
Tepe Sialk	Tepe Sialk
Tepe Sialk	Tepe Sialk north
Tepe Yahya	Tepe Yahya
Tepe Zagheh	Tepe Zagheh
Tepecik	Makaraz Höyük
Tepecik	Makaraz Tepe
Tepecik	Tepecik
Tepecik	Tepecik (Makaraz Tepe)
Tepecik	Tepecik/Makaraz Tepe
Toire	Toire
Tol-e Baši	Tol-e Baši
Tol-e Nurabad	Tol-e Nurabad
Tol-e Spid	Tol-e Spid
Toptepe	Toptepe
Tor Hamar	Tor Hamar
Tor Hamar	Tor Hamar (C or J431)
Tubna	Tubna
Turlu	Turlu
Tülintepe	Tülintepe
Ujrat el-Mehed 1	Ujrat el-Mehed 1
Ulucak Höyük	Ulucak Höyük
Umm Dabaghiyah	Umm Dabaghiyah
Umm Qseir	Umm Qseir
Umm et-Tlel	Umm et-Tlel
Urkan ar-Rub IIa	Urkan ar-Rub IIA
Urkan ar-Rub IIa	Urkan e-Rub IIa
Uruk	Uruk
Uyun al-Hammam	Uyun al-Hammam
Uğurlu Höyük	Uğurlu Höyük
Wadi Abu Tulayha	Wadi Abu Tulayha
Wadi Daba'lya	Wadi Daba'lya
Wadi Dana	Wadi Dana
Wadi Faynan 11	Wadi Faynan 11
Wadi Faynan 16	Faynan 16
Wadi Faynan 16	WF16
Wadi Faynan 16	Wadi Faynan 16
Wadi Faynan 25	Wadi Faynan 25
Wadi Faynan 25	Wadi Faynan WF25
Wadi Fidan 51	Wadi Fidan 51
Wadi Fidan 8	Wadi Fidan 8
Wadi Fidan A	Wadi Fidan A
Wadi Fidan C	Wadi Fidan C
Wadi Hammeh 27	Wadi Hammeh 27
Wadi Hammeh 27	Wadi Hammeh b27
Wadi Hammeh 27	Wadi al-Hammeh 27
Wadi Hammeh 27	Wadi el-Hammeh 27
Wadi Hisban 5	Wadi Hisban 5
Wadi Jilat 10	Jilat 10
Wadi Jilat 10	Wadi Jilat 10
Wadi Jilat 10	Wadi el-Jilat 10
Wadi Jilat 13	Jilat 13
Wadi Jilat 13	Wadi Jilat 13
Wadi Jilat 13	Wadi el-Jilat 13
Wadi Jilat 22	Jilat 22
Wadi Jilat 22	Wadi Jilat 22
Wadi Jilat 22	Wadi el-Jilat 22
Wadi Jilat 25	Jilat 25
Wadi Jilat 25	Wadi Jilat 25
Wadi Jilat 25	Wadi el-Jilat 25
Wadi Jilat 26	Jilat 26
Wadi Jilat 26	Wadi Jilat 26
Wadi Jilat 26	Wadi el-Jilat 26
Wadi Jilat 27	Jilat 27
Wadi Jilat 27	Wadi Jilat 27
Wadi Jilat 27	Wadi el-Jilat 27
Wadi Jilat 6	Jilat 6
Wadi Jilat 6	Wadi Jilat 6
Wadi Jilat 6	Wadi el-Jilat 6
Wadi Jilat 7	Jilat 7
Wadi Jilat 7	Wadi Jilat 7
Wadi Jilat 7	Wadi el-Jilat 7
Wadi Jilat 8	Jilat 8
Wadi Jilat 8	Wadi Jilat 8
Wadi Jilat 8	Wadi el-Jilat 8
Wadi Kafrein	Wadi Kafrein
Wadi Kafrein	Wadi Kefrein
Wadi Khazne	Wadi Khazne
Wadi Makkukh	Wadi Makkukh
Wadi Makkukh	Wadi Makkukh (cave of the Warrior)
Wadi Mataha	Wadi Mataha
Wadi Mataha 2	Wadi Mataha 2
Wadi Nemrin	Wadi Nemrin
Wadi Ramm	Wadi Ramm
Wadi Shu'eib	Wadi Shu'eib
Wadi Shumlya	Wadi Shumlya
Wadi Tumbaq 3	Wadi Tumbaq 3
Wadi Zalaka	Wadi Zalaka
Wadi al-Ghira 16	Wadi al-Ghira 16
Wadi al-Qattafi M4	Maitland's Mesa
Wadi al-Qattafi M4	Mesa-4
Wadi al-Qattafi M4	Wadi al-Qattafi M4
Wezmeh	Wezmeh
Wezmeh	Wezmeh cave
Wisad Pools	Wisad Pools
Yanik Tepe	Yanik Tepe
Yarim Tepe	Yarim Tepe
Yarim Tepe	Yarym Tepe
Yarim Tepe I	Yarim Tepe I
Yarim Tepe II	Yarim Tepe II
Yarımburgaz	Yarimburgaz cave
Yarımburgaz	Yarımburgaz
Yeni Mahalle	Yeni Mahalle
Yenikapi	Yenikapi
Yesilova Höyük	Yesilova Höyük
Yiftah'el	Yiftah'el
Yiftah'el	Yiftahel
Yumuktepe	Yumuktepe
Zahrat adh-Dhra 2	ZAD 2
Zahrat adh-Dhra 2	ZAD2
Zahrat adh-Dhra 2	Zahrat adh-Dhra (ZAD 2)
